question_id,intervention,measurement_layer,distance,delta_persona_projection,delta_emotion_projection
eval03,persona,27,2,2.1349105834960938,0.2412109375
eval03,persona,27,3,0.9185638427734375,0.18474197387695312
eval03,persona,27,4,1.0396060943603516,-0.09239578247070312
eval03,persona,27,5,0.3304595947265625,0.05706596374511719
eval03,persona,27,6,1.1000089645385742,0.3383369445800781
eval03,persona,27,7,0.8545761108398438,0.06775665283203125
eval03,persona,27,8,0.8274879455566406,0.5793437957763672
eval03,persona,27,9,0.7935256958007812,0.22542572021484375
eval03,persona,27,10,0.7024497985839844,0.6650857925415039
eval03,persona,27,11,0.38185882568359375,0.10779953002929688
eval03,persona,27,12,1.1911201477050781,0.4358234405517578
eval03,persona,27,13,1.2973384857177734,0.11524367332458496
eval03,persona,27,14,1.2386932373046875,0.6869907379150391
eval03,persona,27,15,0.42173004150390625,0.5015602111816406
eval03,persona,27,16,0.3800544738769531,-0.031894683837890625
eval03,persona,27,17,0.0141754150390625,0.2900514602661133
eval03,persona,27,18,1.008493423461914,0.5415439605712891
eval03,persona,27,19,0.521662712097168,0.27365684509277344
eval03,persona,27,20,0.9686717987060547,0.5539817810058594
eval04,emotion,20,1,0.11105632781982422,0.19777154922485352
eval04,emotion,20,2,0.21384429931640625,0.3690528869628906
eval04,emotion,20,3,0.14334678649902344,0.2864046096801758
eval04,emotion,20,4,0.016968727111816406,0.09058094024658203
eval04,emotion,20,5,0.00012683868408203125,0.06273460388183594
eval04,emotion,20,6,-0.024189412593841553,0.015072345733642578
eval04,emotion,20,7,-0.0003941059112548828,0.0075900256633758545
eval04,emotion,20,8,0.005065441131591797,0.009604930877685547
eval04,emotion,20,9,0.004395961761474609,0.002753615379333496
eval04,emotion,20,10,0.00426793098449707,0.009526729583740234
eval04,emotion,20,11,-5.245208740234375e-05,-0.0017161369323730469
eval04,emotion,20,12,0.012871742248535156,0.00583648681640625
eval04,emotion,20,13,-0.0024657249450683594,0.010980606079101562
eval04,emotion,20,14,-0.005159854888916016,-0.001162409782409668
eval04,emotion,20,15,0.0065288543701171875,-0.0017809867858886719
eval04,emotion,20,16,3.2901763916015625e-05,0.006516456604003906
eval04,emotion,20,17,0.0009050369262695312,-0.01594400405883789
eval04,emotion,20,18,-0.00039386749267578125,-0.0065250396728515625
eval04,emotion,20,19,-0.0010762214660644531,0.006093025207519531
eval04,emotion,20,20,0.009096622467041016,0.017113208770751953
eval04,emotion,27,1,-0.0811920166015625,0.4842243194580078
eval04,emotion,27,2,0.05535125732421875,1.4688425064086914
eval04,emotion,27,3,0.43639373779296875,1.2857065200805664
eval04,emotion,27,4,-1.6834068298339844,0.04033470153808594
eval04,emotion,27,5,0.09695053100585938,0.10079193115234375
