emotion,condition,layer,overlap_cosine,parallel_fraction,mean_delta_sycophancy_projection,mean_delta_emotion_projection
disgusted,orthogonal_matched,26,-0.010868017,0.000118114,-0.0595153259113431,2.7046953797340394
disgusted,orthogonal_matched,27,-0.010868017,0.000118114,-0.063653583265841,2.641354513168335
disgusted,orthogonal_matched,28,-0.010868017,0.000118114,-0.06413534982129931,2.571908676624298
disgusted,orthogonal_matched,29,-0.010868017,0.000118114,-0.0710582122206688,2.5163986921310424
disgusted,orthogonal_matched,30,-0.010868017,0.000118114,-0.0846092976629734,2.496564257144928
disgusted,orthogonal_matched,31,-0.010868017,0.000118114,-0.08839164059609175,2.45244163274765
disgusted,orthogonal_matched,32,-0.010868017,0.000118114,-0.08651230297982693,2.471683073043823
disgusted,orthogonal_matched,33,-0.010868017,0.000118114,-0.08881903700530529,2.488999044895172
disgusted,orthogonal_matched,34,-0.010868017,0.000118114,-0.10846285931766034,2.49538539648056
disgusted,orthogonal_matched,35,-0.010868017,0.000118114,-0.11639353036880493,2.437159204483032
disgusted,orthogonal_matched,36,-0.010868017,0.000118114,-0.14073553662747146,2.4250298976898192
disgusted,orthogonal_matched,37,-0.010868017,0.000118114,-0.18823114410042763,2.3499559283256533
disgusted,orthogonal_matched,38,-0.010868017,0.000118114,-0.20775810927152633,2.1867867350578307
disgusted,orthogonal_matched,39,-0.010868017,0.000118114,-0.42651868537068366,14.302624845504761
furious,full,22,-0.036188956,0.001309641,-0.22205523997545243,5.822575521469116
furious,full,23,-0.036188956,0.001309641,-0.23156214281916618,5.487012934684754
furious,full,24,-0.036188956,0.001309641,-0.19630868956446648,5.284714531898499
furious,full,25,-0.036188956,0.001309641,-0.19770289734005927,5.099910998344422
furious,full,26,-0.036188956,0.001309641,-0.1641905341297388,4.960251116752625
furious,full,27,-0.036188956,0.001309641,-0.17972073331475258,4.8135624647140505
furious,full,28,-0.036188956,0.001309641,-0.15879796855151654,4.713585305213928
furious,full,29,-0.036188956,0.001309641,-0.1570273034274578,4.6121961832046505
