question_id,intervention,measurement_layer,distance,delta_persona_projection,delta_emotion_projection
eval03,emotion,39,1,0.5208187103271484,0.5127248764038086
eval03,emotion,39,2,-0.2695293426513672,1.2291584014892578
eval03,emotion,39,3,-0.20891571044921875,0.5572109222412109
eval03,emotion,39,4,-0.31668853759765625,-0.08597564697265625
eval03,emotion,39,5,0.5632476806640625,0.4000358581542969
eval03,emotion,39,6,0.31507301330566406,1.4238510131835938
eval03,emotion,39,7,-0.4825553894042969,0.6946449279785156
eval03,emotion,39,8,0.5277595520019531,0.9666748046875
eval03,emotion,39,9,0.01458740234375,0.02506732940673828
eval03,emotion,39,10,0.4353179931640625,-0.30138635635375977
eval03,emotion,39,11,1.0031967163085938,0.21105194091796875
eval03,emotion,39,12,-0.1704730987548828,-1.3112144470214844
eval03,emotion,39,13,1.162027359008789,1.319326400756836
eval03,emotion,39,14,-0.14894866943359375,0.6746006011962891
eval03,emotion,39,15,0.42777347564697266,-1.0733299255371094
eval03,emotion,39,16,0.00037670135498046875,0.5965576171875
eval03,emotion,39,17,0.43778324127197266,0.14888763427734375
eval03,emotion,39,18,-1.2890701293945312,-0.18598175048828125
eval03,emotion,39,19,-0.7448768615722656,-0.48360443115234375
eval03,emotion,39,20,-0.6873550415039062,0.5741348266601562
eval03,persona,22,1,0.008134603500366211,0.0019765496253967285
eval03,persona,22,2,0.01153188943862915,0.0029824376106262207
eval03,persona,22,3,0.009574174880981445,0.0016008615493774414
eval03,persona,22,4,0.018828272819519043,0.0014955997467041016
eval03,persona,22,5,0.007718384265899658,-0.002165555953979492
eval03,persona,22,6,0.01702827215194702,0.006089210510253906
eval03,persona,22,7,0.01123836636543274,0.00627899169921875
eval03,persona,22,8,0.004506349563598633,0.002149820327758789
eval03,persona,22,9,0.004414081573486328,0.002714991569519043
eval03,persona,22,10,0.0014554262161254883,-4.750490188598633e-05
eval03,persona,22,11,0.0063838958740234375,0.0022513866424560547
eval03,persona,22,12,0.004350826144218445,0.002098679542541504
eval03,persona,22,13,0.003249228000640869,-0.0010603070259094238
eval03,persona,22,14,0.003957882523536682,0.0018822848796844482
eval03,persona,22,15,0.00182420015335083,-0.001543581485748291
eval03,persona,22,16,0.0046863555908203125,0.0012080669403076172
eval03,persona,22,17,-0.0014122724533081055,-0.0014395713806152344
eval03,persona,22,18,0.002577543258666992,-0.0016041994094848633
eval03,persona,22,19,0.0010628700256347656,0.001028299331665039
eval03,persona,22,20,-7.033348083496094e-05,0.00029772520065307617
eval03,persona,39,1,2.0119762420654297,0.1655740737915039
eval03,persona,39,2,1.85784912109375,-0.2960205078125
eval03,persona,39,3,-0.528656005859375,0.0702362060546875
eval03,persona,39,4,0.973876953125,-0.7621955871582031
eval03,persona,39,5,1.1953277587890625,0.03478431701660156
eval03,persona,39,6,1.2487773895263672,0.5566787719726562
eval03,persona,39,7,1.3531875610351562,0.20049667358398438
eval03,persona,39,8,1.1556434631347656,0.36273193359375
eval03,persona,39,9,0.5095252990722656,0.7621078491210938
eval03,persona,39,10,0.26399993896484375,0.6045846939086914
eval03,persona,39,11,1.9722843170166016,-0.4360618591308594
eval03,persona,39,12,0.4416542053222656,-0.6453094482421875
eval03,persona,39,13,2.0110855102539062,0.6893062591552734
eval03,persona,39,14,0.8150749206542969,0.6682872772216797
eval03,persona,39,15,1.6943206787109375,-1.1451225280761719
eval03,persona,39,16,0.8880157470703125,0.017986297607421875
eval03,persona,39,17,0.9272823333740234,-0.2720298767089844
eval03,persona,39,18,-0.60919189453125,0.20755767822265625
eval03,persona,39,19,0.32077789306640625,0.18103790283203125
eval03,persona,39,20,0.08269500732421875,0.02201080322265625
eval04,emotion,22,1,-0.006264030933380127,-0.007124781608581543
eval04,emotion,22,2,0.006694197654724121,0.026247963309288025
eval04,emotion,22,3,0.0065381526947021484,0.01627904176712036
eval04,emotion,22,4,0.005203723907470703,0.011158764362335205
eval04,emotion,22,5,0.0015490055084228516,0.002635359764099121
eval04,emotion,22,6,0.001870870590209961,0.005443990230560303
eval04,emotion,22,7,-0.0010738968849182129,-0.0001245737075805664
